"","ctr_code","country","Marine_Area","Shelf_Area","Coastline","Land_Area","Reef_Area","Mangrove_Area","Inshore_Fishing_Area","Reefs_At_Risk","Population","Coastal_Population","GDP","GDP_/_Capita","Fish_Consumption","Human_Development_Index"
"1",2,"American Samoa",NA,NA,NA,NA,NA,3.7,NA,NA,67242,NA,NA,NA,NA,NA
"2",3,"Anguilla",90000,NA,61,91,70,0.9,NA,100,15094,NA,1.754e+10,12200,NA,NA
"3",4,"Antigua and Barbuda",110000,NA,153,442.6,180,8.43,4128,100,87884,100,1.433e+09,16500,37,0.788
"4",5,"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,106113,100,2.258e+09,21800,9,NA
"5",6,"Australia",6664100,2065200,25760,7682300,48960,9910.04,1113094,32,21766711,89.8,8.896e+11,41300,19,0.937
"6",7,"Bahamas",652000,NA,3542,10010,3580,875.05,NA,49,313312,99.6,8.878e+09,28600,22,0.784
"7",8,"Bahrain",8000,10000,161,665,760,0.65,7416,82,1214705,100,2.982e+10,40400,14,0.615
"8",9,"Baker and Howland Islands",NA,NA,11.2,3,NA,NA,NA,NA,0,NA,0,0,NA,NA
"9",10,"Bangladesh",39900,59600,580,130168,50,4951.36,35367,100,158570535,54.8,2.593e+11,1700,10,0.469
"10",11,"Barbados",48800,320,97,430,90,0.04,426,100,286705,100,6.196e+09,21700,40,0.788
"11",12,"Belize",12800,8700,386,22806,1420,957.53,13178,63,321115,100,2.652e+09,8400,8,0.694
"12",13,"Bermuda",450000,NA,103,54,210,0.18,NA,100,68679,100,4.5e+09,69900,44,NA
"13",14,"Brazil",3442500,711500,7491,8459417,1200,12999.47,413060,84,203429773,48.6,2.194e+10,10900,7,0.699
"14",15,"Brunei Darussalam",9000,NA,161,5265,210,173.1,6369,100,401890,99.9,1.988e+10,50300,22,0.805
"15",16,"Cambodia",NA,34600,443,176515,50,728.35,28828,100,14701717,23.8,3.013e+10,2000,9,0.494
"16",17,"Cameroon",10900,13100,402,472710,430,1961.84,2357366,NA,19711291,21.9,4.465e+10,2300,NA,0.46
"17",18,"Cape Verde Islands",734265,5394,965,4033,5591,NA,NA,NA,516100,99.9,1.861e+09,3700,NA,0.534
"18",19,"Cayman Islands",119000,NA,160,264,130,78.3,NA,100,51384,NA,2.25e+09,43800,NA,NA
"19",20,"Chagos Archipelago (UK)",554000,NA,698,60,3770,NA,NA,NA,0,NA,0,0,NA,NA
"20",21,"Chile",3415900,218900,6435,743812,NA,0,251855,NA,16888760,81.5,2.6e+11,15500,NA,0.783
"21",22,"China",NA,810400,14500,9569901,1510,207.56,366443,91,1336718015,24,9.872e+10,7400,NA,0.663
"22",23,"Clipperton Atoll (France)",425220,NA,11.1,6,4,NA,NA,NA,0,NA,0,0,NA,NA
"23",24,"Colombia",706100,16200,3208,1038700,2060,4079.26,53691,44,44725543,29.9,4.319e+11,9800,5,0.698
"24",25,"Comoros",175000,NA,340,2235,430,1.17,1526,99,794683,100,789400000,1000,20,0.428
"25",26,"Cook Islands",1830000,NA,120,236,1120,0,NA,57,11124,NA,183200000,9100,68,NA
"26",27,"Costa Rica",542100,14800,1290,51060,30,418.4,19585,93,4576562,100,5.13e+10,11400,7,0.725
"27",28,"Cuba",222200,51000,3735,109820,3290,4944.05,61525,46,11087330,100,1.141e+11,9900,13,NA
"28",29,"Djibouti",7000,NA,314,23180,450,9.96,3187,100,757074,100,2.099e+09,2800,3,0.402
"29",30,"Dominica",29000,NA,148,751,70,0.1,659,100,72969,100,765400000,10500,35,0.798
"30",31,"Dominican Republic",246500,5900,360,48320,1350,212.15,10738,89,9956648,100,8.494e+10,8600,12,0.663
"31",32,"Ecuador",NA,31500,2237,276841,50,1582.61,29769,16,15007343,60.5,1.153e+11,8000,8,0.695
"32",33,"Egypt",185300,50100,2450,995450,3800,5.12,61591,61,81713517,53.1,5.009e+11,5500,7,0.62
"33",34,"El Salvador",NA,17700,307,20721,NA,252,14221,NA,6052064,98.8,4.398e+10,7300,NA,0.659
"34",35,"Equatorial Guinea",291400,8600,296,28051,NA,2982.21,7820,NA,650702,72.3,2.466e+10,37900,NA,0.538
"35",36,"Eritrea",NA,47500,2234,117600,3260,101.93,59568,66,5792984,73.5,4.178e+09,700,1,0.483
"36",37,"Federated States of Micronesia",2980000,NA,6112,702,4340,86.99,NA,45,107665,NA,2.77e+08,2300,73,0.614
"37",38,"Fiji",1055000,19500,1129,18274,10020,424.64,47705,68,883125,99.9,3.792e+09,4300,33,0.669
"38",40,"French Polynesia",5500000,NA,2525,3827,6000,0,NA,29,294935,80.1,4.718e+09,18000,64,NA
"39",41,"Ghana",216900,18100,539,227553,NA,136.87,22502,NA,24791073,42.5,3.824e+10,1600,NA,0.467
"40",42,"Grenada",25000,900,121,344,160,1.36,2237,100,108419,100,1.127e+09,10500,28,0.777
"41",43,"Guadeloupe",90000,NA,306,1706,400,52.9,NA,100,444515,100,3513,8000,28,NA
"42",44,"Guam",218000,NA,125.5,544,220,0.97,492,100,183286,NA,2.5e+09,15000,NA,NA
"43",45,"Guatemala",104500,13000,400,107159,NA,177.27,14422,NA,13824463,61.2,7.031e+10,5200,NA,0.56
"44",47,"Haiti",86400,5900,1771,27560,1260,135.56,6683,100,9719932,99.6,1.118e+10,1200,3,0.529
"45",48,"Hawaiian Islands (USA)",NA,NA,NA,16759,1180,NA,17016,57,2020000,NA,NA,NA,21,NA
"46",49,"Honduras",201200,58800,820,111890,1120,628,52973,57,8143564,65.5,3.377e+10,4200,4,0.604
"47",50,"Hong Kong",NA,NA,733,1054,NA,2.82,2609,NA,7122508,100,3.27e+11,45600,17,0.862
"48",51,"India",2103400,372400,7000,2973193,5790,4325.92,326668,61,1189172906,26.3,2.989e+12,3400,5,0.519
"49",52,"Indian Ocean Islands (France)",640400,NA,66526,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",53,"Indonesia",2915000,1847700,54716,1811569,51020,31893.59,2039381,82,245613043,95.9,1.033e+12,4300,NA,0.6
"51",54,"Iran",129700,160200,2440,1531595,700,192.34,99151,88,77891220,23.9,8.635e+11,11200,5,0.702
"52",55,"Israel",NA,3200,273,20330,10,0,3745,100,7473052,96.6,1.859e+11,29500,23,0.872
"53",56,"Ivory Coast",157400,8600,797,318000,NA,644,NA,NA,17327724,39.7,2.171e+11,1400,NA,NA
"54",57,"Jamaica",234800,5600,1022,10831,1010,97.55,9802,99,2868380,100,2.393e+10,8400,17,0.688
"55",58,"Japan",3648400,304200,29751,374744,2900,7.44,323834,91,126475664,96.4,4.338e+12,34200,67,0.884
"56",59,"Jarvis Island",NA,NA,8,4.5,NA,NA,NA,NA,0,NA,0,0,NA,NA
"57",60,"Johnston Island",444000,NA,10,2.8,220,0,NA,67,0,NA,0,0,0,NA
"58",61,"Jordan",NA,100,26,88802,50,0,59,75,6508271,29,3.379e+10,5300,4,0.773
"59",62,"Kenya",104100,8500,536,569140,630,609.51,11073,91,41070934,7.7,6.595e+10,1600,5,0.47
